student_id,fee_paid,fee_due
1,14819,11857
2,13999,9585
3,7146,10811
4,12750,5317
5,15852,8578
6,17764,14281
7,6771,1208
8,15465,6889
9,17889,4659
10,12777,2804
11,8299,8272
12,11296,5597
13,17725,1547
14,13842,4384
15,11074,12612
16,14270,13886
17,13059,6205
18,18577,14957
19,11158,7704
20,17992,13779
21,18133,4350
22,8065,8968
23,17972,2093
24,19083,5247
25,12006,11690
26,8157,10531
27,11112,5619
28,18716,2623
29,6419,9049
30,10596,4538
31,5553,1283
32,5144,5232
33,9100,11972
34,15690,6542
35,8040,1807
36,12084,11974
37,19446,6939
38,14123,2876
39,12026,5221
40,13357,1420
41,10428,203
42,12637,14230
43,5611,6313
44,9828,14048
45,13429,11448
46,17268,1509
47,18751,11362
48,9668,13088
49,9221,13844
50,5467,11654
51,14322,10636
52,7516,3553
53,8517,2994
54,12963,4271
55,5288,13413
56,18099,8987
57,14432,9548
58,14874,7585
59,19324,5377
60,13070,5891
61,8295,1526
62,7795,8738
63,9449,8438
64,17227,11937
65,6815,7226
66,6702,220
67,19755,11870
68,13849,6994
69,14514,3303
70,8979,12636
71,10533,9694
72,18680,3659
73,14773,3622
74,18757,9682
75,5201,1539
76,10683,13240
77,15413,6748
78,10222,12899
79,10601,3535
80,18982,1950
81,5530,10984
82,14719,7
83,14263,14838
84,14351,4290
85,8416,3160
86,18739,1663
87,7111,3732
88,7872,9999
89,15715,6502
90,12877,1404
91,17497,7807
92,5948,5281
93,7576,2674
94,16437,8200
95,18096,6189
96,16690,12646
97,7108,10617
98,18131,11147
99,5016,3495
100,6012,6096
